symbol,bid,ask,24h volume($),status
GRTETH,0.00005130,0.00005150,117.01,Trading
POLYXBTC,0.00000750,0.00000752,115.53,Trading
GALAETH,0.00000843,0.00000845,110.98,Trading
UNIETH,0.00235500,0.00236100,109.75,Trading
CFXBTC,0.00000444,0.00000445,108.56,Trading
BCHBTC,0.00743000,0.00744000,105.56,Trading
WINBNB,0.00000030,0.00000031,101.82,Trading
IOTXETH,0.00001126,0.00001129,99.07,Trading
ARBBTC,0.00002614,0.00002615,98.09,Trading
PAXGBNB,8.71800000,8.75100000,94.11,Trading
POLSBNB,0.00129400,0.00130100,93.47,Trading
DOTBTC,0.00012380,0.00012390,93.24,Trading
SCRTETH,0.00015770,0.00015810,92.48,Trading
ALGOBNB,0.00043800,0.00044100,91.21,Trading
XLMETH,0.00006440,0.00006450,87.81,Trading
DARBNB,0.00039368,0.00039561,80.40,Trading
FTMBTC,0.00000655,0.00000656,76.87,Trading
AAVEBTC,0.00246000,0.00246200,72.61,Trading
GASBTC,0.00008580,0.00008590,72.13,Trading
INJBTC,0.00034890,0.00034930,71.63,Trading
ETCBNB,0.07290000,0.07310000,70.93,Trading
IDBNB,0.00086140,0.00086990,68.86,Trading
NEARETH,0.00063000,0.00063200,68.26,Trading
CTSIBNB,0.00062900,0.00063200,67.74,Trading
BLZBTC,0.00000698,0.00000700,67.71,Trading
WANETH,0.00010700,0.00010720,66.10,Trading
VETBTC,0.00000054,0.00000055,63.35,Trading
ETCETH,0.00926000,0.00928000,62.49,Trading
SXPBNB,0.00129200,0.00129600,62.35,Trading
ICPBNB,0.01568000,0.01577000,62.27,Trading
COMBOBNB,0.00255100,0.00257300,61.64,Trading
LPTBNB,0.02731000,0.02752000,59.19,Trading
AVAXBTC,0.00030270,0.00030300,57.82,Trading
XLMBTC,0.00000338,0.00000339,57.56,Trading
DYDXBTC,0.00006851,0.00006853,57.44,Trading
FILBTC,0.00011220,0.00011230,54.76,Trading
HOTETH,0.00000073,0.00000074,54.33,Trading
SUIBTC,0.00001276,0.00001277,54.11,Trading
STXBTC,0.00001969,0.00001972,53.04,Trading
QKCETH,0.00000558,0.00000562,51.44,Trading
FUNBNB,0.00002004,0.00002014,51.43,Trading
ATOMBTC,0.00020450,0.00020460,51.24,Trading
APTBTC,0.00018312,0.00018344,50.78,Trading
APEETH,0.00068320,0.00068420,48.29,Trading
COSBNB,0.00002082,0.00002099,47.88,Trading
TRBBTC,0.00269980,0.00270640,47.06,Trading
BNTETH,0.00031950,0.00032300,46.17,Trading
NEOETH,0.00432600,0.00433400,44.99,Trading
HIGHBNB,0.00539700,0.00545900,43.79,Trading
WAVESBTC,0.00005221,0.00005229,43.18,Trading
COTIBNB,0.00018460,0.00018600,43.15,Trading
NEOBNB,0.03402000,0.03422000,41.79,Trading
LOOMBTC,0.00000299,0.00000301,40.30,Trading
OPBTC,0.00004048,0.00004049,40.01,Trading
SNXBNB,0.00998000,0.01005000,39.21,Trading
UNIBTC,0.00012380,0.00012400,39.10,Trading
NEARBTC,0.00003312,0.00003314,37.17,Trading
FETBTC,0.00000810,0.00000812,36.32,Trading
SLPETH,0.00000085,0.00000087,36.13,Trading
HOOKBNB,0.00362790,0.00367140,35.93,Trading
EGLDETH,0.01610000,0.01611000,35.92,Trading
RUNEBTC,0.00006302,0.00006308,35.91,Trading
ELFBTC,0.00001071,0.00001072,35.81,Trading
ETCBTC,0.00048600,0.00048700,35.45,Trading
BNXBNB,0.00117800,0.00119000,34.77,Trading
LRCETH,0.00010542,0.00010643,34.05,Trading
RLCETH,0.00061000,0.00061100,32.81,Trading
ZILBNB,0.00008030,0.00008096,32.61,Trading
RIFBTC,0.00000352,0.00000353,32.33,Trading
